"","RNA1.1.t0.rep2","RNA1.1.t5.rep2","RNA1.1.t10.rep2","RNA1.1.t20.rep2"
"YKR011C",141,205,122,255
"YKR014C",133,74,27,13
"YKR017C",37,21,10,9
"YKR018C",811,691,270,150
"YKR019C",58,26,14,8
"YKR022C",70,48,15,16
"YKR024C",108,16,9,8
"YKR026C",219,167,53,18
"YKR031C",57,31,14,21
"YKR036C",91,68,32,24
"YKR037C",96,71,16,11
"YKR038C",246,126,28,31
"YKR043C",1016,791,345,113
"YKR045C",91,21,11,14
"YKR046C",284,256,106,108
"YKR048C",752,637,281,144
"YKR049C",162,112,51,30
"YKR052C",32,18,10,2
"YKR053C",51,35,34,20
"YKR054C",88,52,43,25
"YKR063C",108,34,7,10
"YKR065C",864,704,292,127
"YKR066C",459,466,170,112
"YKR068C",134,69,8,8
"YKR071C",542,452,89,45
"YKR072C",369,140,28,25
"YKR075C",46,43,13,6
"YKR079C",107,18,7,5
"YKR081C",937,484,54,25
"YKR083C",59,36,6,5
"YKR084C",99,74,34,18
"YKR085C",317,119,15,11
"YKR087C",153,90,19,23
"YKR088C",148,118,51,30
"YKR089C",210,97,57,28
"YKR092C",313,217,59,31
"YKR094C",7674,7276,2599,1356
"YKR098C",15,24,1,7
"YKR100C",93,31,21,9
"YKL219W",112,73,8,7
"YKL216W",1145,920,281,50
"YKL212W",128,76,33,12
"YKL210W",222,146,79,37
"YKL208W",88,9,1,3
"YKL207W",975,619,204,45
"YKL205W",143,64,31,20
"YKL204W",191,141,56,67
"YKL195W",159,114,25,13
"YKL191W",352,255,63,49
"YKL190W",257,213,94,46
"YKL189W",98,24,8,13
"YKL185W",255,38,10,16
"YKL184W",106,97,56,50
"YKL183W",135,104,55,30
"YKL182W",1395,652,229,101
"YKL181W",1019,627,216,80
"YKL180W",5264,4540,1395,822
"YKL175W",225,137,34,34
"YKL173W",178,61,13,3
"YKL172W",2075,754,230,149
"YKL171W",42,70,42,29
"YKL170W",182,56,26,24
"YKL163W",23,13,4,6
"YKL160W",2476,1720,764,582
"YKL157W",263,192,91,69
"YKL156W",4340,3232,593,383
"YKL154W",319,119,17,23
"YKL150W",214,224,63,75
"YKL146W",131,85,20,15
"YKL145W/YKL145W-A",543,388,137,57
"YKL143W",276,161,62,18
"YKL142W",177,209,93,89
"YKL141W",769,673,255,171
"YKL140W",162,82,27,18
"YKL139W",121,87,23,44
"YKL137W",273,123,22,11
"YKL127W",162,158,43,17
"YKL126W",171,103,47,26
"YKL125W",350,79,52,31
"YKL121W",27,32,13,5
"YKL120W",831,378,86,51
"YKL117W",1569,1547,600,504
"YKL112W",58,93,34,42
"YKL108W",100,108,19,11
"YKL106W",311,216,88,104
"YKL101W",422,279,133,157
"YKL098W",100,38,9,14
"YKL096W-A",11273,7852,2547,1136
"YKL096W",631,447,163,45
"YKL094W",180,133,39,19
"YKL090W",66,29,11,12
"YKL088W",113,56,12,9
"YKL086W",87,44,14,14
"YKL085W",340,208,110,81
"YKL084W",122,126,41,36
"YKL081W",3712,3148,1225,593
"YKL080W",548,526,163,61
"YKL079W",66,16,13,3
"YKL078W",116,50,12,4
"YKL077W",233,196,61,20
"YKL073W",265,208,72,23
"YKL072W",69,17,10,5
"YKL069W",68,49,20,17
"YKL068W-A",151,16,11,11
"YKL068W",357,126,39,44
"YKL067W",576,550,282,181
"YKL064W",97,142,67,41
"YKL061W",92,67,24,37
"YKL058W",126,73,23,9
"YKL051W",96,84,40,43
"YKL047W",138,63,14,7
"YKL045W",221,92,25,26
"YKL044W",43,68,39,30
"YKL043W",169,311,86,85
"YKL042W",166,157,65,100
"YKL041W",122,106,41,18
"YKL039W",132,114,65,30
"YKL038W",185,111,53,50
"YKL035W",473,386,163,112
"YKL034W",122,79,47,66
"YKL033W-A",213,188,98,54
"YKL033W",38,68,64,64
"YKL028W",113,115,39,32
"YKL027W",852,332,82,40
"YKL023W",224,112,43,15
"YKL019W",415,271,107,28
"YKL018W",215,111,23,16
"YKL015W",128,60,33,31
"YKL012W",88,59,12,17
"YKL009W",1641,599,65,34
"YKL007W",269,177,50,12
"YKL006W",4711,4068,1690,775
"YKL004W",385,219,68,26
"YKL002W",270,110,30,14
"YKR002W",74,27,12,5
"YKR003W",112,65,23,18
"YKR007W",92,79,21,8
"YKR008W",150,176,62,112
"YKR013W",310,222,91,44
"YKR016W",94,52,7,7
"YKR020W",98,75,19,10
"YKR021W",69,39,20,10
"YKR023W",80,31,10,6
"YKR025W",168,154,62,72
"YKR027W",65,32,11,17
"YKR028W",321,133,85,62
"YKR030W",96,52,19,14
"YKR035W-A",228,126,13,10
"YKR039W",19,13,9,5
"YKR041W",22,48,31,24
"YKR042W",4227,3232,1367,1508
"YKR044W",142,31,16,5
"YKR047W",97,43,20,23
"YKR050W",102,94,41,56
"YKR051W",167,44,20,7
"YKR055W",55,40,11,3
"YKR056W",330,118,16,24
"YKR057W",4288,3846,1665,1276
"YKR058W",37,79,43,39
"YKR059W",3274,3041,1345,1093
"YKR060W",156,48,18,11
"YKR061W",109,49,40,19
"YKR062W",145,92,20,10
"YKR064W",80,36,15,18
"YKR067W",103,91,45,38
"YKR069W",81,49,14,26
"YKR070W",171,111,67,24
"YKR074W",129,129,33,16
"YKR076W",27,31,18,4
"YKR077W",80,22,13,17
"YKR080W",184,106,34,18
"YKR082W",199,86,17,22
"YKR086W",106,39,13,15
"YKR090W",79,34,13,4
"YKR091W",46,40,19,15
"YKR093W",343,110,25,44
"YKR095W",324,236,117,67
"YKR095W-A",195,119,19,9
"YKR096W",908,597,336,381
"YKR099W",236,73,36,28
"YKR101W",45,31,16,23
"YLL067C",182,83,38,39
"YLL066C",249,121,71,55
"YLL063C",55,42,27,14
"YLL060C",39,23,5,9
"YLL053C/YLL052C",41,72,48,55
"YLL051C",139,62,22,26
"YLL050C",1782,1886,778,585
"YLL048C",151,94,51,21
"YLL046C",6,130,95,50
"YLL045C",9803,9031,3965,2228
"YLL041C",15,28,24,14
"YLL040C",276,147,89,86
"YLL039C",190,355,315,352
"YLL036C",207,95,21,22
"YLL034C",444,190,36,16
"YLL032C",57,20,6,1
"YLL031C",203,78,29,11
"YLL024C",8881,6051,1752,1426
"YLL023C",163,157,51,32
"YLL022C",290,211,64,16
"YLL020C/YLL019C",19,47,32,42
"YLL018C",1427,1420,550,384
"YLL013C",70,45,24,13
"YLL010C",163,73,23,51
"YLL009C",147,83,11,5
"YLR001C",87,50,20,19
"YLR002C",376,215,55,16
"YLR003C",412,256,80,49
"YLR006C",89,68,27,48
"YLR008C",192,74,22,12
"YLR016C",55,33,10,10
"YLR018C",205,78,43,23
"YLR020C",429,225,68,53
"YLR022C",171,51,9,14
"YLR024C",76,44,30,23
"YLR026C",79,16,13,10
"YLR027C",2479,1720,645,265
"YLR028C",821,728,283,119
"YLR029C",8336,7164,1761,513
"YLR034C",471,284,85,61
"YLR035C",37,17,15,8
"YLR035C-A",576,422,233,257
"YLR036C",96,47,15,14
"YLR038C",352,249,96,49
"YLR039C",144,50,12,11
"YLR040C",267,176,44,31
"YLR042C",133,77,30,22
"YLR043C",1434,1309,492,248
"YLR044C",12992,10639,4086,2901
"YLR045C",270,107,32,26
"YLR046C",91,47,20,22
"YLR049C",126,60,29,16
"YLR050C",164,134,41,26
"YLR051C",179,69,17,0
"YLR055C",266,116,38,33
"YLR058C",766,566,185,34
"YLR059C",447,272,124,41
"YLR065C",169,136,35,32
"YLR067C",92,39,21,11
"YLR069C",132,63,35,39
"YLR071C",192,64,31,24
"YLR073C",311,117,68,75
"YLR074C",992,624,161,40
"YLR078C",178,67,14,9
"YLR082C",62,49,30,38
"YLR083C",1184,691,176,63
"YLR084C",204,86,28,37
"YLR085C",71,24,8,2
"YLR087C",216,173,96,84
"YLR089C",323,214,101,83
"YLR093C",255,116,41,40
"YLR094C",263,188,78,95
"YLR095C",754,320,172,182
"YLR097C",53,35,15,9
"YLR098C",53,28,19,10
"YLR099C",92,64,16,20
"YLR102C",43,20,8,5
"YLR103C",63,19,7,7
"YLR105C",104,53,15,18
"YLR106C",1692,1075,580,629
"YLR108C",90,70,20,23
"YLR110C",24898,21442,5469,2070
"YLR114C",161,105,43,22
"YLR117C",126,49,26,18
"YLR118C",500,335,147,74
"YLR120C",78,43,36,20
"YLR121C",240,144,54,36
"YLR126C",109,74,37,23
"YLR127C",107,33,18,12
"YLR130C",293,87,38,25
"YLR131C",291,114,42,47
"YLR132C",19,7,3,4
"YLR136C",222,49,17,9
"YLR139C",120,142,73,71
"YLR144C",66,29,13,8
"YLR146C",101,31,6,0
"YLR147C",84,48,6,0
"YLR149C",26,21,12,26
"YLR152C",30,36,21,16
"YLR153C",2303,1734,596,246
"YLR154C",323,194,56,38
"YLR154C-G",3437,2595,2074,1827
"YLR155C",620,432,173,217
"YLR157C",593,389,197,187
"YLR157C-B/YLR157C-A",1296,971,578,508
"YLR158C",599,426,186,186
"YLR160C",626,435,180,173
"YLR163C",316,125,35,20
"YLR166C",169,125,49,26
"YLR168C",260,192,72,68
"YLR170C",545,390,150,92
"YLR172C",2033,1466,735,306
"YLR176C",53,43,20,27
"YLR178C",126,157,73,91
"YLR179C",773,738,376,330
"YLR181C",277,119,31,11
"YLR183C",164,96,16,17
"YLR189C",63,78,38,23
"YLR192C",1318,1137,619,406
"YLR193C",120,105,27,27
"YLR194C",385,165,42,40
"YLR195C",266,192,83,40
"YLR199C",184,112,10,16
"YLR201C/YLR202C",158,169,74,76
"YLR203C",559,330,89,29
"YLR205C",258,74,34,52
"YLR209C",130,106,45,21
"YLR212C",183,60,28,19
"YLR213C",76,157,129,119
"YLR215C",56,61,44,52
"YLR216C",1368,2123,1128,1055
"YLR221C",392,345,160,104
"YLR222C",287,77,22,17
"YLR222C-A/YLR223C",96,89,44,64
"YLR225C",198,71,18,42
"YLR227C",78,40,20,21
"YLR228C",62,62,25,23
"YLR229C",1001,757,181,51
"YLR231C",266,206,109,61
"YLR239C",106,51,9,4
"YLR244C",1268,935,395,156
"YLR247C",370,220,80,77
"YLR254C",88,62,28,33
"YLR259C",3072,2723,1212,640
"YLR261C/YLR262C",74,44,9,3
"YLR262C-A",560,543,227,226
"YLR265C",64,29,17,9
"YLR266C",56,25,8,4
"YLR272C",57,40,21,11
"YLR276C",264,161,24,25
"YLR277C",150,57,26,13
"YLR278C",91,75,45,43
"YLR280C/YLR281C",5,25,50,21
"YLR285C-A",4149,3945,1756,1483
"YLR286C",79,69,76,32
"YLR287C",217,163,60,57
"YLR287C-A",3302,3088,1503,1206
"YLR288C",62,39,15,11
"YLR290C",30,50,17,14
"YLR291C",1284,929,153,208
"YLR292C",898,678,230,66
"YLR293C",3358,3083,1287,599
"YLR294C/YLR295C",1574,1123,344,198
"YLR298C",110,42,16,29
"YLR304C",1704,971,308,134
"YLR305C",326,174,61,48
"YLR309C",163,109,65,53
"YLR310C",173,155,53,92
"YLR314C",1805,1227,451,287
"YLR316C",130,41,8,4
"YLR323C",93,58,17,10
"YLR325C",6140,5281,2117,1044
"YLR327C",114,212,93,96
"YLR333C",3700,3234,1237,666
"YLR336C",215,77,27,14
"YLR337C",95,57,16,10
"YLR347C",132,103,50,32
"YLR348C",880,645,284,138
"YLR351C",238,203,83,56
"YLR354C",2122,1939,632,348
"YLR355C",5638,888,364,276
"YLR361C-A",284,205,98,33
"YLR370C",284,371,123,100
"YLR373C",72,62,16,33
"YLR378C",1963,1609,584,370
"YLR382C",52,46,12,7
"YLR384C",567,303,105,48
"YLR387C",244,86,22,6
"YLR389C",547,315,124,74
"YLR392C",113,78,31,31
"YLR395C",424,305,92,51
"YLR396C",86,57,25,16
"YLR397C",269,120,46,26
"YLR398C",276,175,67,51
"YLR399C",131,118,93,87
"YLR401C",327,139,33,23
"YLR406C",3533,3256,1532,807
"YLR409C",519,173,29,12
"YLR414C",206,100,17,13
"YLR418C",160,70,17,4
"YLR421C",359,288,93,21
"YLR423C",38,17,9,10
"YLR431C",31,19,8,14
"YLR433C",97,65,18,12
"YLR436C",350,288,204,319
"YLR437C",140,131,70,74
"YLR438C-A",808,588,325,237
"YLR440C",169,101,42,44
"YLR441C",3724,3197,1120,665
"YLR442C",149,43,10,19
"YLR447C",782,597,183,76
"YLR452C",345,84,35,21
"YLL058W",90,46,20,12
"YLL043W",187,89,17,10
"YLL035W",66,37,10,10
"YLL029W",193,185,88,57
"YLL028W",279,321,178,158
"YLL027W",251,207,86,62
"YLL026W",289,1351,696,1018
"YLL021W",331,220,127,109
"YLL015W",188,143,66,38
"YLL014W",276,208,35,21
"YLL012W",507,218,55,38
"YLL011W",90,27,4,6
"YLL008W",875,503,248,192
"YLL006W",30,25,17,10
"YLL004W",114,59,13,15
"YLL003W",59,40,21,21
"YLL002W",57,23,10,10
"YLL001W",183,55,19,17
"YLR005W",111,72,27,29
"YLR007W",91,42,22,16
"YLR009W",375,142,21,14
"YLR015W",70,31,9,2
"YLR017W",330,302,111,49
"YLR019W",68,60,16,25
"YLR021W",76,29,17,4
"YLR025W",351,264,100,76
"YLR032W",100,37,9,12
"YLR033W",150,52,13,7
"YLR048W",4136,2965,1039,377
"YLR052W",174,54,15,15
"YLR056W",1526,951,265,79
"YLR057W",275,148,43,33
"YLR060W",989,971,348,231
"YLR061W",6247,5068,1996,1465
"YLR064W",373,273,89,57
"YLR066W",124,115,57,38
"YLR068W",86,26,3,1
"YLR072W",351,151,78,69
"YLR075W",17242,15643,5799,4688
"YLR077W",112,253,85,137
"YLR079W",268,168,109,51
"YLR086W",332,158,102,82
"YLR088W",289,210,101,49
"YLR090W",57,44,22,12
"YLR096W",139,42,19,22
"YLR099W-A",289,184,96,58
"YLR100W",633,409,92,44
"YLR104W",206,153,34,19
"YLR107W",93,9,10,18
"YLR109W",31122,25943,11066,6394
"YLR112W",515,565,376,375
"YLR113W",550,456,146,116
"YLR115W",241,64,29,27
"YLR116W",113,54,14,21
"YLR119W",62,49,15,15
"YLR128W",67,43,17,14
"YLR129W",285,86,19,10
"YLR133W",43,33,2,11
"YLR134W",90,54,18,21
"YLR137W",120,79,30,18
"YLR138W",794,515,224,208
"YLR142W",82,49,27,34
"YLR143W",249,90,29,15
"YLR146W-A",97,56,7,5
"YLR148W",108,40,16,9
"YLR150W",6599,5964,2476,1774
"YLR154W-E",4,1,4,4
"YLR156W",4567,7487,3708,1563
"YLR157W-E",4589,7559,3679,1543
"YLR159W",4555,7485,3773,1599
"YLR161W",3768,7029,2616,964
"YLR162W-A",41,20,6,3
"YLR167W",18159,13526,5258,4622
"YLR174W",47,40,17,15
"YLR175W",1908,841,251,144
"YLR177W",179,362,204,475
"YLR180W",1017,347,40,19
"YLR182W",137,56,20,24
"YLR185W",9456,7986,2902,1430
"YLR186W",382,106,38,27
"YLR187W",120,264,147,93
"YLR188W",201,127,59,51
"YLR191W",82,34,22,19
"YLR196W",424,139,20,20
"YLR197W",898,512,148,72
"YLR200W",743,516,189,97
"YLR204W",493,176,55,71
"YLR206W",107,88,47,27
"YLR207W",151,71,22,10
"YLR208W",218,135,43,25
"YLR210W",40,22,20,5
"YLR214W",6100,1377,149,156
"YLR219W",52,30,26,27
"YLR220W",79,64,20,8
"YLR224W",198,63,30,22
"YLR227W-B/YLR227W-A",1325,1219,562,533
"YLR237W",238,129,49,14
"YLR238W",63,32,11,15
"YLR240W",43,38,20,16
"YLR241W",110,77,36,24
"YLR243W",191,54,15,15
"YLR246W",198,186,121,72
"YLR248W",358,198,79,70
"YLR249W",5281,3168,1242,685
"YLR250W",344,271,59,23
"YLR251W/YLR252W",22,27,17,13
"YLR253W",302,141,48,45
"YLR256W",374,357,172,189
"YLR257W",162,98,37,29
"YLR258W",10,47,40,33
"YLR260W",58,53,21,31
"YLR268W",467,352,148,36
"YLR270W",149,173,52,31
"YLR274W",218,102,36,53
"YLR285W",391,283,109,80
"YLR297W",50,33,16,7
"YLR299W",150,91,32,16
"YLR300W",1087,392,64,21
"YLR301W",761,615,231,134
"YLR303W",513,357,110,26
"YLR306W",82,40,10,6
"YLR312W-A",168,66,6,11
"YLR320W",51,44,18,14
"YLR324W",82,85,21,11
"YLR326W",47,38,15,11
"YLR328W",98,45,19,7
"YLR330W",509,396,162,146
"YLR332W",213,62,12,29
"YLR335W",566,544,229,173
"YLR340W",16190,14782,7324,6720
"YLR341W",1,27,68,25
"YLR342W",63,64,48,39
"YLR342W-A",1080,634,217,139
"YLR344W",5271,4925,2082,1041
"YLR345W",72,112,60,68
"YLR350W",131,98,45,29
"YLR352W",75,97,48,34
"YLR353W",118,59,14,13
"YLR356W",47,45,17,11
"YLR357W",208,105,26,27
"YLR359W",416,293,81,41
"YLR360W",65,37,17,7
"YLR362W",47,21,6,3
"YLR363W-A",109,41,11,5
"YLR364W",305,167,48,66
"YLR366W",82,48,24,13
"YLR367W",2029,1515,704,440
"YLR368W",65,54,40,38
"YLR369W",90,57,19,27
"YLR371W",189,152,94,101
"YLR372W",1126,775,306,175
"YLR375W",271,169,88,67
"YLR380W",458,353,92,62
"YLR383W",62,55,21,13
"YLR386W",182,115,40,27
"YLR388W",5447,5490,2281,1915
"YLR390W",185,79,27,13
"YLR390W-A",860,726,230,179
"YLR394W",75,37,10,8
"YLR403W",14,12,21,12
"YLR405W",177,74,31,26
"YLR407W",71,64,29,9
"YLR410W",463,207,56,47
"YLR410W-B/YLR410W-A",243,186,94,75
"YLR411W",46,87,50,39
"YLR412W",115,80,46,22
"YLR413W",741,68,19,10
"YLR417W",64,32,15,10
"YLR419W",109,46,24,14
"YLR420W",589,465,182,56
"YLR422W",145,87,43,44
"YLR425W",102,56,26,24
"YLR426W",134,102,35,21
"YLR427W",197,113,35,25
"YLR429W",681,415,171,50
"YLR430W",696,427,187,143
"YLR432W",1730,1118,326,135
"YLR435W",225,145,30,13
"YLR438W",237,152,46,19
"YLR439W",209,80,11,4
"YLR443W",53,29,12,12
"YLR446W",51,21,20,12
"YLR448W",3085,2578,960,508
"YLR449W",1000,758,206,77
"YLR450W",276,126,55,15
"YLR451W",74,42,32,13
"YLR454W",121,133,72,54
"YLR456W",70,36,6,11
"YLR459W",191,69,14,5
"YLR464W/YLR466W",209,129,46,57
"YLR467W",265,136,66,67
"YML133C",241,147,70,49
"YML130C",331,721,446,718
"YML129C",326,180,32,27
"YML128C",18,12,16,21
"YML126C",968,642,191,91
"YML125C",454,305,68,21
"YML124C",250,188,48,27
"YML123C",580,63,16,18
"YML120C",28,21,11,23
"YML115C",628,385,80,66
"YML114C",398,139,33,42
"YML110C",239,181,63,39
"YML107C",66,18,5,6
"YML105C",532,354,74,64
"YML104C",81,85,34,26
"YML103C",883,378,134,64
"YML101C",259,185,44,16
"YML099C",62,34,18,19
"YML097C",113,49,6,8
"YML092C",942,888,235,189
"YML091C",70,27,12,7
"YML086C",80,70,12,6
"YML085C",603,514,184,167
"YML081C-A",444,230,65,36
"YML076C",248,187,144,88
"YML075C",832,418,190,129
"YML074C",1698,1678,795,561
"YML073C",9534,8907,3261,2526
"YML072C",683,578,279,197
"YML071C",262,137,49,44
"YML067C",665,393,103,26
"YML064C",162,33,6,10
"YML062C",267,73,31,26
"YML061C",80,53,9,15
"YML059C",251,163,59,47
"YML056C",18388,8368,2502,768
"YML054C",12,9,13,15
"YML053C",216,107,40,55
"YML049C",101,39,11,17
"YML043C",66,48,11,13
"YML041C",74,40,12,10
"YML038C",178,89,24,35
"YML035C",433,219,93,65
"YML032C",113,35,24,20
"YML026C",5698,5371,1725,859
"YML025C",288,105,31,56
"YML023C",237,84,29,29
"YML021C",167,106,39,16
"YML018C",288,76,39,28
"YML016C",54,31,30,23
"YML015C",90,67,23,39
"YML011C",65,23,5,0
"YML009C",337,196,41,27
"YML008C",4210,3746,1674,589
"YML006C",57,36,25,29
"YML004C",283,316,141,68
"YMR001C",431,109,18,20
"YMR006C",212,133,55,25
"YMR008C",98,62,45,29
"YMR013C/YMR013C-A",108,35,10,6
"YMR015C",258,119,43,74
"YMR016C",383,328,141,179
"YMR021C",52,23,19,20
"YMR023C",94,25,10,8
"YMR029C",75,50,21,7
"YMR031C",69,92,19,36
"YMR036C",60,30,18,18
"YMR037C",95,42,31,26
"YMR038C",763,557,246,143
"YMR039C",303,273,129,108
"YMR045C/YMR046C",1309,918,548,451
"YMR047C",161,111,52,49
"YMR049C",1052,635,169,128
"YMR050C/YMR051C",994,804,479,446
"YMR052C-A/YMR053C",9,8,6,4
"YMR055C",60,29,18,7
"YMR056C",96,36,16,27
"YMR060C",241,96,26,33
"YMR062C",132,114,30,9
"YMR067C",121,90,27,36
"YMR071C",227,181,39,12
"YMR073C",126,71,19,11
"YMR074C",521,400,191,100
"YMR076C",189,116,46,38
"YMR077C",227,179,55,66
"YMR078C",223,71,30,17
"YMR081C",10,6,2,1
"YMR088C",88,85,30,23
"YMR089C",270,177,90,78
"YMR091C",155,100,34,25
"YMR092C",493,413,146,51
"YMR097C",154,81,26,19
"YMR098C",78,31,9,9
"YMR099C",267,281,144,61
"YMR102C",115,59,34,29
"YMR103C",49,61,28,73
"YMR105C",105,84,66,52
"YMR110C",180,114,33,24
"YMR111C",34,19,8,6
"YMR112C",55,45,9,6
"YMR114C",46,30,9,14
"YMR116C",7144,5336,1948,978
"YMR120C",75,58,23,19
"YMR121C",737,282,101,41
"YMR126C",112,65,13,23
"YMR127C",67,8,1,0
"YMR131C",679,438,90,18
"YMR135C",78,44,27,11
"YMR137C",55,28,14,16
"YMR141C",19,56,28,22
"YMR142C",7645,5755,2812,1618
"YMR145C",1046,445,182,90
"YMR146C",850,611,286,137
"YMR158C-A",22,8,4,3
"YMR162C",140,79,30,28
"YMR165C",75,51,27,11
"YMR166C",64,20,20,13
"YMR169C",24,28,23,21
"YMR170C",64,37,28,9
"YMR171C",112,44,12,15
"YMR174C",28,19,8,6
"YMR180C",42,61,19,15
"YMR181C",55,57,21,36
"YMR182C",85,121,106,56
"YMR183C",764,632,235,120
"YMR188C",300,97,16,13
"YMR190C",100,74,23,24
"YMR194C-B",45,15,23,21
"YMR194C-A",72,45,14,17
"YMR197C",134,56,15,4
"YMR201C",73,67,18,22
"YMR205C",1409,886,325,132
"YMR207C",82,54,25,18
"YMR209C",281,116,26,12
"YMR212C",1077,471,130,66
"YMR216C",148,74,37,46
"YMR218C",61,47,7,16
"YMR221C",351,220,53,14
"YMR222C",214,173,43,13
"YMR225C",322,131,22,12
"YMR226C",1031,800,442,246
"YMR227C",141,49,26,12
"YMR229C",1598,804,390,262
"YMR235C",762,544,121,40
"YMR239C",99,65,29,15
"YMR240C",50,16,5,3
"YMR242C",8101,7498,2677,1465
"YMR243C",393,243,87,63
"YMR244C-A",138,92,34,15
"YMR247C",132,76,23,16
"YMR252C",50,29,7,15
"YMR256C",454,466,139,97
"YMR258C",164,91,35,22
"YMR259C",200,134,61,41
"YMR260C",3204,3069,1091,682
"YMR261C",226,176,57,49
"YMR265C",34,22,13,8
"YMR270C",48,44,22,24
"YMR272C",359,288,123,71
"YMR273C",283,134,68,60
"YMR274C",67,37,8,9
"YMR275C",109,57,16,18
"YMR282C",82,40,9,20
"YMR285C",228,129,19,29
"YMR287C",32,30,20,19
"YMR290C",976,642,332,201
"YMR295C",1609,1075,400,263
"YMR296C",820,456,126,91
"YMR299C",99,26,9,9
"YMR300C",405,174,36,58
"YMR301C",189,150,43,25
"YMR302C",218,81,31,21
"YMR304C-A/YMR305C",1061,677,256,87
"YMR308C",683,393,117,54
"YMR309C",153,67,16,18
"YMR310C",353,125,21,22
"YMR311C",168,102,37,18
"YMR313C",66,33,27,13
"YMR318C",780,654,328,185
"YMR319C",360,264,149,73
"YML132W",191,134,44,21
"YML131W",32,29,10,4
"YML127W",99,70,28,26
"YML121W",273,121,40,23
"YML119W",83,43,19,11
"YML117W/YML116W-A",425,219,92,79
"YML116W",73,56,30,21
"YML113W",206,34,17,6
"YML112W",93,35,5,7
"YML111W",117,46,25,32
"YML108W",145,89,23,10
"YML106W",2967,1797,504,351
"YML102W",370,97,32,23
"YML100W",65,184,153,234
"YML098W",126,89,9,8
"YML096W",106,30,5,5
"YML094W",211,214,58,27
"YML093W",285,139,57,37
"YML088W",61,31,6,5
"YML082W",114,30,19,11
"YML081W",190,128,45,57
"YML080W",62,6,4,1
"YML079W",170,161,82,42
"YML078W",488,393,210,138
"YML077W",66,74,17,12
"YML070W",259,220,146,98
"YML069W",767,525,138,55
"YML065W",146,94,24,24
"YML063W",7497,6181,2342,1167
"YML060W",94,66,11,7
"YML058W",647,511,138,53
"YML057W",544,306,73,70
"YML055W",246,233,46,22
"YML052W",647,211,34,40
"YML051W",759,594,324,340
"YML048W",648,420,97,40
"YML047W-A",223,156,35,31
"YML046W",135,61,18,27
"YML045W/YML045W-A",518,408,243,211
"YML039W/YML040W",1370,950,582,556
"YML036W",1037,588,118,28
"YML034W",67,38,17,24
"YML031W",407,164,61,24
"YML030W",82,35,16,8
"YML029W",30,22,14,10
"YML028W",11067,10302,4366,2669
"YML027W",57,16,12,17
"YML024W",8989,8965,3423,2533
"YML022W",8527,6082,2359,786
"YML020W",39,29,12,11
"YML019W",50,51,10,3
"YML017W",68,83,42,28
"YML014W",601,434,166,53
"YML013W",139,81,27,21
"YML012W",1158,897,413,157
"YML010W/YML009W-B",129,98,38,24
"YML007W",296,165,57,58
"YML002W",48,52,22,39
"YML001W",302,176,52,23
"YMR002W",628,505,116,85
"YMR003W",115,29,8,4
"YMR004W",82,54,25,31
"YMR005W",174,143,73,43
"YMR009W",113,74,34,17
"YMR010W",169,47,23,16
"YMR011W",912,796,160,25
"YMR012W",961,622,177,81
"YMR013W-A",648,183,73,37
"YMR014W",344,126,62,38
"YMR020W",90,59,21,26
"YMR022W",245,174,69,17
"YMR024W",96,56,16,11
"YMR027W",297,258,93,44
"YMR028W",96,59,11,30
"YMR030W",60,19,5,17
"YMR030W-A",50,24,9,5
"YMR033W",245,83,19,18
"YMR035W",139,90,30,31
"YMR040W",25,18,6,7
"YMR043W",65,40,30,17
"YMR044W",225,64,26,7
"YMR048W",178,102,23,4
"YMR052W",45,18,5,8
"YMR054W",379,149,47,51
"YMR058W",2797,1729,462,178
"YMR059W",83,41,10,15
"YMR061W",215,154,54,26
"YMR064W",132,76,18,28
"YMR066W",52,69,22,25
"YMR068W",41,16,8,3
"YMR070W",207,161,49,106
"YMR072W",843,791,357,215
"YMR075W",286,167,60,88
"YMR079W",227,181,84,53
"YMR083W",1822,1381,622,345
"YMR085W",21,26,15,9
"YMR086W",77,39,15,20
"YMR087W",55,40,16,19
"YMR090W",67,24,13,12
"YMR093W",161,56,21,3
"YMR096W",101,47,15,14
"YMR100W",263,81,37,48
"YMR108W",748,669,228,157
"YMR109W",401,194,64,27
"YMR113W",93,40,7,4
"YMR115W",161,74,18,11
"YMR119W/YMR119W-A",94,52,21,10
"YMR122W-A",2522,1486,363,218
"YMR123W",566,423,121,29
"YMR124W",102,53,26,16
"YMR125W",254,203,59,71
"YMR128W",332,184,98,57
"YMR129W",250,101,36,11
"YMR130W",177,68,15,14
"YMR134W",106,59,15,22
"YMR136W",35,55,27,38
"YMR138W",134,81,24,5
"YMR139W",55,51,22,17
"YMR143W",5829,4764,2079,1244
"YMR144W",74,33,21,7
"YMR148W",125,54,16,11
"YMR149W",500,348,85,33
"YMR152W",159,187,62,37
"YMR153W",145,58,24,11
"YMR155W",54,24,8,3
"YMR158W",112,54,20,8
"YMR160W",59,18,14,6
"YMR161W",37,32,24,28
"YMR172W",179,43,22,11
"YMR173W/YMR173W-A",432,490,197,147
"YMR175W",7,16,11,4
"YMR176W",81,40,16,20
"YMR177W",64,40,10,16
"YMR178W",305,222,80,34
"YMR182W-A",41,18,15,13
"YMR184W",161,105,40,18
"YMR185W",123,85,34,38
"YMR186W",3139,3254,1264,1007
"YMR189W",166,70,10,13
